x,y,u
0.30303,0.10101,0.52277
0.313131,0.10101,0.519512
0.323232,0.10101,0.515453
0.333333,0.10101,0.51062
0.343434,0.10101,0.505039
0.353535,0.10101,0.498743
0.363636,0.10101,0.491763
0.373737,0.10101,0.484136
0.383838,0.10101,0.475899
0.393939,0.10101,0.467092
0.40404,0.10101,0.457755
0.414141,0.10101,0.447933
0.424242,0.10101,0.43767
0.434343,0.10101,0.427012
0.444444,0.10101,0.416007
0.454545,0.10101,0.404704
0.464646,0.10101,0.393153
0.474747,0.10101,0.381404
0.484848,0.10101,0.369507
0.494949,0.10101,0.357516
0.505051,0.10101,0.34548
0.515152,0.10101,0.333451
0.525253,0.10101,0.32148
0.535354,0.10101,0.309618
0.545455,0.10101,0.297913
0.555556,0.10101,0.286414
0.565657,0.10101,0.275167
0.575758,0.10101,0.264215
0.585859,0.10101,0.253599
0.59596,0.10101,0.243356
0.606061,0.10101,0.233518
0.616162,0.10101,0.224107
0.626263,0.10101,0.215136
0.636364,0.10101,0.206606
0.646465,0.10101,0.198494
0,0.111111,0.136815
0.010101,0.111111,0.159353
0.020202,0.111111,0.181668
0.030303,0.111111,0.20357
0.040404,0.111111,0.2249
0.0505051,0.111111,0.245527
0.0606061,0.111111,0.265359
0.0707071,0.111111,0.28433
0.0808081,0.111111,0.302398
0.0909091,0.111111,0.319538
0.10101,0.111111,0.335735
0.111111,0.111111,0.350986
0.121212,0.111111,0.365287
0.131313,0.111111,0.37864
0.141414,0.111111,0.391045
0.151515,0.111111,0.402504
0.161616,0.111111,0.413018
0.171717,0.111111,0.422587
0.181818,0.111111,0.431212
0.191919,0.111111,0.438894
0.20202,0.111111,0.445634
0.212121,0.111111,0.451434
0.222222,0.111111,0.456297
0.232323,0.111111,0.460227
0.242424,0.111111,0.46323
0.252525,0.111111,0.465314
0.262626,0.111111,0.466488
0.272727,0.111111,0.466765
0.282828,0.111111,0.466157
0.292929,0.111111,0.464681
0.30303,0.111111,0.462357
0.313131,0.111111,0.459204
0.323232,0.111111,0.455247
0.333333,0.111111,0.450512
0.343434,0.111111,0.445027
0.353535,0.111111,0.438824
0.363636,0.111111,0.431935
0.373737,0.111111,0.424395
0.383838,0.111111,0.416244
0.393939,0.111111,0.407519
0.40404,0.111111,0.398264
0.414141,0.111111,0.38852
0.424242,0.111111,0.378334
0.434343,0.111111,0.367752
0.444444,0.111111,0.356821
0.454545,0.111111,0.34559
0.464646,0.111111,0.33411
0.474747,0.111111,0.322431
0.484848,0.111111,0.310604
0.494949,0.111111,0.29868
0.505051,0.111111,0.286713
0.515152,0.111111,0.274752
0.525253,0.111111,0.262849
0.535354,0.111111,0.251056
0.545455,0.111111,0.239422
0.555556,0.111111,0.227997
0.565657,0.111111,0.216826
0.575758,0.111111,0.205957
0.585859,0.111111,0.195432
0.59596,0.111111,0.185291
0.606061,0.111111,0.17557
0.616162,0.111111,0.166301
0.626263,0.111111,0.157505
0.636364,0.111111,0.149197
0.646465,0.111111,0.141376
0,0.121212,0.0638048
0.010101,0.121212,0.0856309
0.020202,0.121212,0.107268
0.030303,0.121212,0.128556
0.040404,0.121212,0.149354
0.0505051,0.121212,0.169546
0.0606061,0.121212,0.189037
0.0707071,0.121212,0.207756
0.0808081,0.121212,0.225653
0.0909091,0.121212,0.24269
0.10101,0.121212,0.258843
0.111111,0.121212,0.274094
0.121212,0.121212,0.288432
0.131313,0.121212,0.301849
0.141414,0.121212,0.31434
0.151515,0.121212,0.325899
0.161616,0.121212,0.336524
0.171717,0.121212,0.346211
0.181818,0.121212,0.354959
0.191919,0.121212,0.362767
0.20202,0.121212,0.369633
0.212121,0.121212,0.375559
0.222222,0.121212,0.380546
0.232323,0.121212,0.384599
0.242424,0.121212,0.387723
0.252525,0.121212,0.389924
0.262626,0.121212,0.391213
0.272727,0.121212,0.391601
0.282828,0.121212,0.391102
0.292929,0.121212,0.389733
0.30303,0.121212,0.387511
0.313131,0.121212,0.384459
0.323232,0.121212,0.380599
0.333333,0.121212,0.375958
0.343434,0.121212,0.370566
0.353535,0.121212,0.364452
0.363636,0.121212,0.35765
0.373737,0.121212,0.350195
0.383838,0.121212,0.342126
0.393939,0.121212,0.333483
0.40404,0.121212,0.324306
0.414141,0.121212,0.31464
0.424242,0.121212,0.304529
0.434343,0.121212,0.29402
0.444444,0.121212,0.283162
0.454545,0.121212,0.272003
0.464646,0.121212,0.260593
0.474747,0.121212,0.248983
0.484848,0.121212,0.237224
0.494949,0.121212,0.225369
0.505051,0.121212,0.213469
0.515152,0.121212,0.201576
0.525253,0.121212,0.189742
0.535354,0.121212,0.178019
0.545455,0.121212,0.166456
0.555556,0.121212,0.155105
0.565657,0.121212,0.144014
0.575758,0.121212,0.133231
0.585859,0.121212,0.122801
0.59596,0.121212,0.112769
0.606061,0.121212,0.103178
0.616162,0.121212,0.0940654
0.626263,0.121212,0.0854684
0.636364,0.121212,0.0774182
0.646465,0.121212,0.069941
0,0.131313,-0.0133125
0.010101,0.131313,0.00791987
0.020202,0.131313,0.028987
0.030303,0.131313,0.049751
0.040404,0.131313,0.0700869
0.0505051,0.131313,0.0898864
0.0606061,0.131313,0.109059
0.0707071,0.131313,0.127532
0.0808081,0.131313,0.145249
0.0909091,0.131313,0.162165
0.10101,0.131313,0.178247
0.111111,0.131313,0.19347
0.121212,0.131313,0.207815
0.131313,0.131313,0.221266
0.141414,0.131313,0.233813
0.151515,0.131313,0.245446
0.161616,0.131313,0.256156
0.171717,0.131313,0.265939
0.181818,0.131313,0.274789
0.191919,0.131313,0.282702
0.20202,0.131313,0.289677
0.212121,0.131313,0.295713
0.222222,0.131313,0.300811
0.232323,0.131313,0.304974
0.242424,0.131313,0.308207
0.252525,0.131313,0.310516
0.262626,0.131313,0.311911
0.272727,0.131313,0.312402
0.282828,0.131313,0.312005
0.292929,0.131313,0.310735
0.30303,0.131313,0.30861
0.313131,0.131313,0.305652
0.323232,0.131313,0.301885
0.333333,0.131313,0.297335
0.343434,0.131313,0.29203
0.353535,0.131313,0.286002
0.363636,0.131313,0.279284
0.373737,0.131313,0.271911
0.383838,0.131313,0.263923
0.393939,0.131313,0.255357
0.40404,0.131313,0.246257
0.414141,0.131313,0.236666
0.424242,0.131313,0.226629
0.434343,0.131313,0.216193
0.444444,0.131313,0.205406
0.454545,0.131313,0.194317
0.464646,0.131313,0.182976
0.474747,0.131313,0.171434
0.484848,0.131313,0.159743
0.494949,0.131313,0.147955
0.505051,0.131313,0.136122
0.515152,0.131313,0.124297
0.525253,0.131313,0.112531
0.535354,0.131313,0.100877
0.545455,0.131313,0.0893856
0.555556,0.131313,0.0781089
0.565657,0.131313,0.067097
0.575758,0.131313,0.0563997
0.585859,0.131313,0.0460661
0.59596,0.131313,0.036145
0.606061,0.131313,0.0266846
0.616162,0.131313,0.0177334
0.626263,0.131313,0.00934057
0.636364,0.131313,0.00155714
0.646465,0.131313,-0.0055626
